policy,graph_id,family,size_label,n,m,initial_score,final_score,improvement,total_reward,actions
no_change,val__erdos_renyi__small__idx0000__seed202026,erdos_renyi,small,14,36,0.4894879545879587,0.6380802431442849,0.14859228855632622,0.20940031287075472,no_change | no_change | no_change | no_change | no_change
random,val__erdos_renyi__small__idx0000__seed202026,erdos_renyi,small,14,36,0.4894879545879587,0.6192183235316095,0.12973036894365086,0.18765220129681184,cool_down_layout | expand_and_stabilize | reset_k_to_default | no_change | large_decrease_k
fixed::large_decrease_k,val__erdos_renyi__small__idx0000__seed202026,erdos_renyi,small,14,36,0.4894879545879587,0.603108427948768,0.11362047336080927,0.16593131615568602,large_decrease_k | large_decrease_k | large_decrease_k | large_decrease_k | large_decrease_k
ppo,val__erdos_renyi__small__idx0000__seed202026,erdos_renyi,small,14,36,0.4894879545879587,0.6425078214919159,0.1530198669039572,0.21427064905314877,reset_temperature_to_default | reset_cooling_rate_to_default | large_increase_k | large_increase_k | large_increase_k
no_change,val__erdos_renyi__small__idx0001__seed202027,erdos_renyi,small,23,33,0.4990834921179496,0.7123772268907718,0.21329373477282215,0.28153145746189934,no_change | no_change | no_change | no_change | no_change
random,val__erdos_renyi__small__idx0001__seed202027,erdos_renyi,small,23,33,0.4990834921179496,0.7123184199741545,0.21323492785620485,0.2804667698536202,large_decrease_k | reset_cooling_rate_to_default | small_decrease_k | small_increase_k | large_increase_temperature
fixed::large_decrease_k,val__erdos_renyi__small__idx0001__seed202027,erdos_renyi,small,23,33,0.4990834921179496,0.6819413549111704,0.18285786279322075,0.2430519982843378,large_decrease_k | large_decrease_k | large_decrease_k | large_decrease_k | large_decrease_k
ppo,val__erdos_renyi__small__idx0001__seed202027,erdos_renyi,small,23,33,0.4990834921179496,0.7326044031379821,0.23352091102003253,0.3037813513338307,reset_temperature_to_default | reset_cooling_rate_to_default | large_increase_k | large_increase_k | large_increase_k
no_change,val__erdos_renyi__small__idx0002__seed202028,erdos_renyi,small,30,47,0.5297743839954306,0.6752454170453973,0.14547103304996667,0.2099955747545066,no_change | no_change | no_change | no_change | no_change
random,val__erdos_renyi__small__idx0002__seed202028,erdos_renyi,small,30,47,0.5297743839954306,0.6945193939511249,0.1647450099556943,0.22919694935080687,large_decrease_temperature | large_increase_k | reset_k_to_default | small_decrease_k | cool_down_layout
fixed::large_decrease_k,val__erdos_renyi__small__idx0002__seed202028,erdos_renyi,small,30,47,0.5297743839954306,0.6616082016141036,0.13183381761867297,0.18999463778008338,large_decrease_k | large_decrease_k | large_decrease_k | large_decrease_k | large_decrease_k
ppo,val__erdos_renyi__small__idx0002__seed202028,erdos_renyi,small,30,47,0.5297743839954306,0.6893031853037268,0.15952880130829616,0.2264591198386689,reset_temperature_to_default | reset_cooling_rate_to_default | reset_cooling_rate_to_default | large_increase_k | large_increase_k
